asin,product_name,cpu_euros_planned,units_sold,total_income,ppc_income,advertising,ppc_share,organic_share,ppc_units_sold,cpu_actual,brand
B01ELZWC3C,VitalCore Skinny Tea 28 Days,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07VK43M7B,VitalCore Skinny Coffee 28 days,,0.0,0.0,0.0,0.0,,,,,VitalCore
B005FN35ZO,VitalCore African Mango,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07YSK1XSY,Medora VariGo,,0.0,0.0,0.0,0.0,,,,,Medora
B01HND3URQ,Viaman Delay,,0.0,0.0,0.0,0.0,,,,,Other
B00KGYBU2M,Viaman Delay 40 ml  Spray,,0.0,0.0,0.0,0.0,,,,,Other
B00KGYG8NI,Viaman Delay   6 Wipes,,0.0,0.0,0.0,0.0,,,,,Other
B008S8KSM6,Viaman Viaman   90 Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B07MZ9F2RN,VitalCore Slimming Patch,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01HGB0WS0,VitalCore Belly XS,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01M6B9KMC,VitalCore Intensive Colon Cleanse,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01N6HL2CA,Eco Masters Chamomile Day Face,,0.0,0.0,0.0,0.0,,,,,Other
B01N0R6YHL,Örtte Tea Scrub for Dry Skin,,0.0,0.0,0.0,0.0,,,,,Other
B01N6DI4F2,Örtte Tea Body Scrub for Acne,,0.0,0.0,0.0,0.0,,,,,Other
B01M19HP0E,Örtte Tea Body Scrub for Cellulite,,0.0,0.0,0.0,0.0,,,,,Other
B01NBKYN20,Örtte Tea FACE Scrub,,0.0,0.0,0.0,0.0,,,,,Other
B01M9D1SFX,VitalCore Matcha Tea,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01N673PPH,VitalCore Fenugreek,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01ELZKFZY,VitalCore Detox Tea 28 Days,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01N6DFMOW,VitalCore Fruit Infuser,,0.0,0.0,0.0,0.0,,,,,VitalCore
B071F9PH5T,VitalCore Curcumin with Vitamin D3,,0.0,0.0,0.0,0.0,,,,,VitalCore
B087D1FHGT,VitalCore Mood Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07884C7GG,VitalCore Brain Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B073JB2QW4,VitalCore Fat Binder,,0.0,0.0,0.0,0.0,,,,,VitalCore
B071GQX7TV,Viaman Viaman Plus,,0.0,0.0,0.0,0.0,,,,,Other
B012FUGTBQ,Viaman Viper   8 Tablets,,0.0,0.0,0.0,0.0,,,,,Other
B07X345PDP,Medora HairGenesis Trichoceutical Oral,,0.0,0.0,0.0,0.0,,,,,Medora
B07X47ZPFT,Medora HairGenesis Trichoceutical Serum,,0.0,0.0,0.0,0.0,,,,,Medora
B07X116WMQ,Medora HairGenesis Trichoceutical Shampoo,,0.0,0.0,0.0,0.0,,,,,Medora
B07X253KBJ,Medora HairGenesis Trichoceutical Conditioner,,0.0,0.0,0.0,0.0,,,,,Medora
B0758DRTQJ,Viaher Supplement for Women,,0.0,0.0,0.0,0.0,,,,,Other
B0758D5SVR,Viaman Volume   60 Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B073X1LMXB,Örtte Coffee Scrub,,0.0,0.0,0.0,0.0,,,,,Other
B07F91JDKF,Viaman Viper PRO   15 Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B075WYMNXX,VitalCore Immune NU,,0.0,0.0,0.0,0.0,,,,,VitalCore
B078Y63H49,VitalCore PressureX,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07BHT4LJN,VitalCore Omega 3 (Vegan),,0.0,0.0,0.0,0.0,,,,,VitalCore
B0778LB59L,VitalCore AbGym Belt - Abdominal Muscle Toner,,0.0,0.0,0.0,0.0,,,,,VitalCore
B078WD4D41,Viaman Extendor,,0.0,0.0,0.0,0.0,,,,,Other
B07HB1WD1H,Eco Masters Ingrown Hair,,0.0,0.0,0.0,0.0,,,,,Other
B07H9ZVD27,Eco Masters Chin & Neck Firming,,0.0,0.0,0.0,0.0,,,,,Other
B07H31TD23,Eco Masters Gold Edition Carrot & Argan Body,,0.0,0.0,0.0,0.0,,,,,Other
B07H5HRNN3,Eco Masters Gold Edition Sulphur (Pack Of 2),,0.0,0.0,0.0,0.0,,,,,Other
B07H31BR7M,Eco Masters Gold Edition Carrot & Argan Face,,0.0,0.0,0.0,0.0,,,,,Other
B07H4Q2D4G,Eco Masters Gold Edition Exclusive Body,,0.0,0.0,0.0,0.0,,,,,Other
B07H5LFD2B,Eco Masters Gold Edition Exfoliating (Pack of 2),,0.0,0.0,0.0,0.0,,,,,Other
B07H31TS29,Eco Masters Gold Edition Carrot & Argan,,0.0,0.0,0.0,0.0,,,,,Other
B07H5QWMMM,Eco Masters Gold Edition Exclusive (Pack of 2),,0.0,0.0,0.0,0.0,,,,,Other
B07HB3BZ55,Eco Masters Gold Edition Exclusive Face,,0.0,0.0,0.0,0.0,,,,,Other
B07H4Q5ZM9,Eco Masters Gold Edition Carrot and Argan (Pack of 2),,0.0,0.0,0.0,0.0,,,,,Other
B07HB2G8H4,Eco Masters Gold Edition Brightening Body Milk,,0.0,0.0,0.0,0.0,,,,,Other
B07TJJY1FN,ViaHer Pro   15 Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B07CGMR9FK,Viaman Viaman Intimacy,,0.0,0.0,0.0,0.0,,,,,Other
B07G7F577B,VitalCore Joint Health Patch,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08G1XXC2Q,Medora Skin Tag Patch,,0.0,0.0,0.0,0.0,,,,,Medora
B07G5CKWV2,Medora eye HEALTH,,0.0,0.0,0.0,0.0,,,,,Medora
B07F6J1DXV,Medora morning D-TOX,,0.0,0.0,0.0,0.0,,,,,Medora
B07H4QJKR2,Eco Masters Hair-Plus Mask,,0.0,0.0,0.0,0.0,,,,,Other
B07ZD7GNL4,VitalCore Herbal Better Mood: St Johns Wort,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07GYRJSND,PawVista Joint complex for dogs & cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GPWWT8T,PawVista Hydrolysed Collagen Joint Supplement for Dog,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H2YTKLC,PawVista Cod liver oil Cat & Dog,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GX7NG98,PawVista Krill Oil For Dog & Cat,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GPNS4HQ,PawVista Essential Coat for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GYLM5QV,PawVista Omega-Gold Glossy Coat for Dog & Cat,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GXKBBPP,PawVista Brewers Dried Yeast ( Dogs & Cats ) - Tablets,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GYRRM9Y,PawVista Calming Aid for Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GPD11TZ,PawVista Digestive Support for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H31N361,PawVista Echinacea for Dogs & Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H3166FW,PawVista Raspberry Leaf  for Dogs & Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H9YVLTM,PawVista Evening Primrose Oil for Dogs & Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB15TV2,PawVista Serrapeptase for Dog & Cat,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H2ZS63X,PawVista Co-Enzyme Q10 for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GYV9616,PawVista Urinary Aids - Cat,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GXPSWX1,PawVista Hairball Aid - Cat,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H36ZP33,PawVista Calming Aids for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07J1VXFPJ,mysmile mysmile  Teeth Whitening Kit,,0.0,0.0,0.0,0.0,,,,,Other
B08914C67C,VitalCore HIP Trainer,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07GXQSQQG,PawVista Tear Stain Remover Supplement,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GXMNZZY,PawVista Tear Stain Remover Solution,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GXLBMSV,PawVista Brewers Dried Yeast,,0.0,0.0,0.0,0.0,,,,,PawVista
B07GNQTSQ9,PawVista Diarrhoea Control,,0.0,0.0,0.0,0.0,,,,,PawVista
B07N1T2L1Z,Eco Masters Breast Firming,,0.0,0.0,0.0,0.0,,,,,Other
B07HB2914R,PawVista Eye Care for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB1QXH9,PawVista Turmeric with Black Pepper for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB251F9,PawVista Flea & Tick Killer for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB35746,PawVista Flea & Tick Repellent for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HGCXMH1,PawVista Fur Detangler for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H9YXZ46,PawVista Stress Support for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07H9ZSC67,PawVista Eye Support for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07K8RQSYT,VitalCore L-Glutamine,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07KCF3FG2,VitalCore Garlic Oil,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MSB6S5H,VitalCore BCAA + B6,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07KB1DVQM,VitalCore HEMP PROTEIN,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07K8PZCND,VitalCore INULIN,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MFLG2ML,VitalCore Royal Jelly,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07L966G1R,VitalCore L-Arginine HCL,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MLT28ZK,VitalCore BCAA + Glutamine,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07L8LFVG8,VitalCore Beta Alanine,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MF78YBK,VitalCore Bovine Collagen Peptides (90% Protein),,0.0,0.0,0.0,0.0,,,,,VitalCore
B07KQ819VR,VitalCore L-Arginine HCL,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07HF7NQQK,PawVista Soothex for Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HF6MPVH,PawVista Soothex for Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HF4XVMG,PawVista Digestease for Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HF7BNZZ,PawVista Flaxseed Oil for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07KFFXJPF,Medora Cranberry & D-Mannose,,0.0,0.0,0.0,0.0,,,,,Medora
B07KCBMH6X,VitalCore Aloe Vera with Calcium,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07HB2CQ58,PawVista Multivitamin Powder,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB1XQLN,PawVista Skin & Coat Shampoo,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB49R5L,PawVista Digestican,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HB2QS68,PawVista Caninexiety,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HGB6DZ7,PawVista L-LYSINE for Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07HG9JJRP,PawVista UTI Support for cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B07L8JW95M,VitalCore Organic Bio Ayurweda Mix,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MFLLGC6,VitalCore Organic Super Brahmi Leaves,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MFM9M78,VitalCore Organic Bio Vege Protein Mix,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07KW4RWQG,PawVista Wormwood Advanced,,0.0,0.0,0.0,0.0,,,,,PawVista
B07KW57B44,PawVista Itch relief for Cats & Dogs,,0.0,0.0,0.0,0.0,,,,,PawVista
B07PYGZR69,mysmile mysmile Teeth Whitening Gels,,0.0,0.0,0.0,0.0,,,,,Other
B07S69QJY5,VitalCore ABS Stimulator Replacement Gel Pads,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07RWZZKSX,mysmile Activated Charcoal Powder with Bamboo Toothbrush  200 g  Powder,,0.0,0.0,0.0,0.0,,,,,Other
B07THZPZY8,Medora GynecoMax,,0.0,0.0,0.0,0.0,,,,,Medora
B07RWF1ZLK,Eco Masters mysmile Teeth Whitening,,0.0,0.0,0.0,0.0,,,,,Other
B07T9434LK,Viaman Viaman| USA,,0.0,0.0,0.0,0.0,,,,,Other
B07Z56S33H,VitalCore Advanced Marine Collagen Drink,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07WGGXFMJ,VitalCore Pure C8 MCT Oil,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07W5JDT32,VitalCore Hemp Patch   20 Patches,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07W4DF7GM,VitalCore Circulator Patch,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07V4NJH81,VitalCore Vitamin D3 2000IU,,0.0,0.0,0.0,0.0,,,,,VitalCore
B087NB55JS,Medora Menustral - Small,,0.0,0.0,0.0,0.0,,,,,Medora
B087MY1THL,Medora Menustral - Large,,0.0,0.0,0.0,0.0,,,,,Medora
B07WW8321X,Medora DHEA 50mg | USA,,0.0,0.0,0.0,0.0,,,,,Medora
B07YPSCV5L,VitalCore Liposomal Vitamin C,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081FDCSTZ,Viaman Black Maca Complex 5550 mg 180 Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B081S1YJL8,VitalCore Keto Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B089CPDF7R,VitalCore Keto - BHB | USA,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081VJP2BR,Viaman L-Arginine Capsules,,0.0,0.0,0.0,0.0,,,,,Other
B08FRNVT5Q,VitalCore Keto MCT Oil Softgels,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07Z4YFZ7R,VitalCore Keto Collagen Advanced,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081Z8FHX3,VitalCore Vegan Collagen Powder,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081S38T6H,Eco Masters Anti Ageing Eye,,0.0,0.0,0.0,0.0,,,,,Other
B081RYXTS1,Eco Masters Retinol,,0.0,0.0,0.0,0.0,,,,,Other
B081S3LLCJ,Eco Masters Vitamin C,,0.0,0.0,0.0,0.0,,,,,Other
B07YX1V2WZ,VitalCore Chocolate Detox,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07YX2398S,VitalCore Marine Collagen Sachets,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081RYKPRB,PawVista Grooming and De-shedding     Brush,,0.0,0.0,0.0,0.0,,,,,PawVista
B084D2PGLT,VitalCore Go Blend Pro,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0814QB867,VitalCore Keto Nootropics Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B081YZ7SM2,mysmile mysmile Activated Charcoal Powder,,0.0,0.0,0.0,0.0,,,,,Other
B082J1MS21,PawVista Flea & Tick Shampoo 500 ml  Shampoo,,0.0,0.0,0.0,0.0,,,,,PawVista
B0836S147F,VitalCore Keto Omega 3 Fish Oil,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07YBG7V2P,VitalCore VitalCore Coq10 | USA,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08FRMBL3D,VitalCore Vitamin C Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B085YB89VL,VitalCore Liposomal Vitamin C  | eBay,,0.0,0.0,0.0,0.0,,,,,VitalCore
B086N15BFN,VitalCore Elderberry Advanced 60 capsules (USA),,0.0,0.0,0.0,0.0,,,,,VitalCore
B087448JBG,Medora Premium Vitamin C Multi Ingredients Blend,,0.0,0.0,0.0,0.0,,,,,Medora
B0881XQB6K,VitalCore Elderberry Advanced,,0.0,0.0,0.0,0.0,,,,,VitalCore
B088P555HF,Medora Vitamin D3 |Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B088SC8531,Medora Vitamin C Complex | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B07DQLQJWC,Medora Marine Collagen Advanced | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B088SJHM94,Medora Activated Charcoal Capsules | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B0897VRRXJ,Medora Curcumin + D3 Liquid | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B08B8QGBBT,Medora Vitamin D3 | Raspberry Flavour,,0.0,0.0,0.0,0.0,,,,,Medora
B08D97X91K,mysmile Day and Night Toothpaste with Brush,,0.0,0.0,0.0,0.0,,,,,Other
B08GG9642X,Medora Biotin Complex,,0.0,0.0,0.0,0.0,,,,,Medora
B08FRK3GWP,VitalCore 5-HTP,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08GG8Z465,Medora Vitamin D3 for Kids 1000IU,,0.0,0.0,0.0,0.0,,,,,Medora
B08GG8V1TG,Medora  OPC Grape Seed Extract,,0.0,0.0,0.0,0.0,,,,,Medora
B08GCK14SQ,Viaman T-Boost,,0.0,0.0,0.0,0.0,,,,,Other
B08HYVCTG7,PawVista Flea and Tick Collar,,0.0,0.0,0.0,0.0,,,,,PawVista
B08KTJM5GP,VitalCore Skinny Tea (Morning) 28 Days,,0.0,0.0,0.0,0.0,,,,,VitalCore
B01ELZKFZY,VitalCore Detox Tea (Evening) 28 Days,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08KTL3W1S,VitalCore Ceremonial Matcha Tea,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08KVVWS79,VitalCore Bedtime Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08L6MVQNX,VitalCore Vegan Collagen Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B09JCMPH3S,PawVista Hairball Aid for Cats,,0.0,0.0,0.0,0.0,,,,,PawVista
B08LZS1RH5,VitalCore L Arginine Amino Acid,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08MQB6JTJ,VitalCore Fruit Infuser (New),,0.0,0.0,0.0,0.0,,,,,VitalCore
B08PPNYW21,VitalCore Omega Fish Oil,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07RM2JTF3,mysmile Teeth Whitening,,0.0,0.0,0.0,0.0,,,,,Other
B08Q492WQV,VitalCore Vitamin C + Zinc,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08KZ26V41,VitalCore Skinny and Detox tea   28 Teabags,,0.0,0.0,0.0,0.0,,,,,VitalCore
B09T5YN55Y,VitalCore Vitamin C  (eBay),,0.0,0.0,0.0,0.0,,,,,VitalCore
B08W8L23RM,VitalCore Bovine Collagen Complex Capsules,,0.0,0.0,0.0,0.0,,,,,VitalCore
B091HWGKYV,VitalCore Quercetin.,,0.0,0.0,0.0,0.0,,,,,VitalCore
B08ZNRB6RP,Medora Vitamin B12,,0.0,0.0,0.0,0.0,,,,,Medora
B08ZJP4VVM,VitalCore Skinny Coffee.,,0.0,0.0,0.0,0.0,,,,,VitalCore
B091CSK7FD,Medora Vitamin D3,,0.0,0.0,0.0,0.0,,,,,Medora
B091GWS1B3,VitalCore BellyXS,,0.0,0.0,0.0,0.0,,,,,VitalCore
B093QFJWLB,Medora Folic Acid,,0.0,0.0,0.0,0.0,,,,,Medora
B07MF78YBK,VitalCore Bovine Collagen - Chocolate,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0938C4MV2,VitalCore Vitamin D3 + K2 | Germany,,0.0,0.0,0.0,0.0,,,,,VitalCore
B096SM181Q,Medora Kurkuma Extract |Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B093QGRL9X,Medora Biotin | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B093QH61YG,Medora Biotin Complex | Germany,,0.0,0.0,0.0,0.0,,,,,Medora
B096SHG8PC,VitalCore 5-HTP,,0.0,0.0,0.0,0.0,,,,,VitalCore
B096LWT3Z3,VitalCore Vegan 360°,,0.0,0.0,0.0,0.0,,,,,VitalCore
B09K7DTZM6,VitalCore Iron Complex with Vitamin C,,0.0,0.0,0.0,0.0,,,,,VitalCore
B09KBZGDY4,VitalCore Elderberry (Pack of 6),,0.0,0.0,0.0,0.0,,,,,VitalCore
B09PNMDCXB,VitalCore Quercetin Complex.,,0.0,0.0,0.0,0.0,,,,,VitalCore
B09RMQYJ5K,PawVista Flea and Tick Spot On,,0.0,0.0,0.0,0.0,,,,,PawVista
B0B1QN6LWX,VitalCore Knee-Flex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0B1QQGSWF,VitalCore Tummy-Tone,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0B8SVNKVZ,Eco Masters Rose Quartz with Guasha & Vitamin C Serum    Device,,0.0,0.0,0.0,0.0,,,,,Other
B0BF5JSCWR,VitalCore Quercetin Complex,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0BF5HJYQC,VitalCore Biotin with Coconut,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0BKQWPT5K,PawVista Salmon Oil,,0.0,0.0,0.0,0.0,,,,,PawVista
B0BTYFD228,VitalCore Prenatal Multivitamin,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0C6QSSZ5C,VitalCore Probiotic Patch,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0CDQDWXN4,VitalCore Marine Collagen with Hyaluronic Acid,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0CBQ17TG1,Medora Liposomal Vitamin C,,0.0,0.0,0.0,0.0,,,,,Medora
B0CJJNWRSP,VitalCore Melatonin 1.9 mg 120 Gummies,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0CJ5KM24T,VitalCore Bedtime,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0F63DSQD2,VitalCore Electrolyte Powder   30 Sachets,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0DZP8H6RT,VitalCore Pure Himalayan Shilajit 20000 mg 180 Capsules,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0DZY117M6,VitalCore Magnesium Complex   180 Capsules,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0F48WQHS8,VitalCore Creatine Monohydrate Micronised Unflavoured Powder 300 g  Powder,6.525438441,0.0,0.0,0.0,0.0,,,,,VitalCore
B0F4KSP9SH,VitalCore Women's Probiotics   90 Capsules,13.67874955,0.0,0.0,0.0,0.0,,,,,VitalCore
B0F63JC3Z8,PawVista Hip & Joint Complex   120 Soft Chews,9.912259339,0.0,0.0,0.0,0.0,,,,,PawVista
B0F67BKBW1,VitalCore Marine Collagen with Magnesium   120 Capsules,6.464325134,0.0,0.0,0.0,0.0,,,,,VitalCore
B0FBVZ35TP,Medora Magnesium Citrate Gummies for Kids   90 Gummies,6.236932447,0.0,0.0,0.0,0.0,,,,,Medora
B0FBWVX2J8,VitalCore Myo & D-Chiro Inositol    90 Gummies,6.117849448,0.0,0.0,0.0,0.0,,,,,VitalCore
B0FBWGF7YG,VitalCore Shilajit Gummies    120 Gummies,7.86573186,0.0,0.0,0.0,0.0,,,,,VitalCore
B0FBX3WS2D,VitalCore 5-HTP Gummies   60 Gummies,5.277416744,0.0,0.0,0.0,0.0,,,,,VitalCore
B0FDX2N28K,VitalCore Liposomal NAD+ with Resveratrol 600 mg 90 Capsules,,0.0,0.0,0.0,0.0,,,,,VitalCore
B0FGDRW2ZQ,VitalCore Pure Himalayan Shilajit Resin 50 g  Resin,,0.0,0.0,0.0,0.0,,,,,VitalCore
B07MWC4C5X,VitalCore Organic Bio Haritaki 200 g  Powder,11.41723397,17.0,243.97,266.85,86.24,1.09,-0.09,19.0,4.637981858,VitalCore
B07HGD7YF5,PawVista Grooming and Anti-Itching Shampoo 500 ml  Shampoo,17.21023623,80.0,1141.97,675.73,259.58,0.59,0.41,47.0,5.483561715,PawVista
B0D6Z1ZSZG,VitalCore Organic Barley Grass 2000 mg 240 Capsules,6.128001119,7.0,160.9,182.39,91.21,1.13,-0.13,8.0,11.49474752,VitalCore
B0CR16N42C,VitalCore Liposomal Vitamin C 1000 mg 14 Liquid Sachets,5.731952782,4.0,85.07,138.13,54.1,1.62,-0.62,6.0,8.329629697,VitalCore
B07L8LSQDV,VitalCore Organic (Bio) Amla 200 g  Powder,3.831979617,29.0,360.41,325.62,124.62,0.9,0.1,26.0,4.756368668,VitalCore
B089QHX5PH,VitalCore Odourless Garlic Oil 15000 mg 180 Softgels,11.92808264,53.0,786.97,880.68,322.19,1.12,-0.12,59.0,5.432205995,VitalCore
B08KRSRFGK,PawVista Wormwood Advanced for Cats & Dogs 120 ml  Liquid,8.496480756,556.0,8147.02,4803.85,2281.44,0.59,0.41,328.0,6.958948211,PawVista
B0C6Y8Z49H,PawVista Flea and Tick Collar (New)    Device,6.578801277,6.0,64.2,117.15,42.69,1.82,-0.82,11.0,3.899129321,PawVista
B09FDXGPH2,VitalCore Ashwagandha Extract (KSM-66) 1500 mg 180 Tablets,0.0,3.0,54.31,153.88,44.55,2.83,-1.83,9.0,5.241119704,VitalCore
B0CF1MQ97T,VitalCore Creatine Monohydrate Micronised Unflavoured Powder    Powder,0.0,5.0,85.29,181.76,54.78,2.13,-1.13,11.0,5.141049956,VitalCore
B07HB3ZS79,PawVista Denti-Care Powder 350 g  Powder,0.0,21.0,355.31,185.53,72.48,0.52,0.48,11.0,6.609858706,PawVista
B0DPJ4Z5WS,VitalCore Certified Organic Ceremonial Matcha Tea 100g    Powder,0.0,11.0,147.86,184.89,61.0,1.25,-0.25,14.0,4.434803987,VitalCore
B082VC3VXK,PawVista Pet Nail Grinder    Device,0.0,3.0,62.75,152.5,49.07,2.43,-1.43,7.0,6.73036612,PawVista
B0CLVCMHBS,VitalCore ZMA   180 Capsules,0.0,1.0,17.08,117.15,42.13,6.86,-5.86,7.0,6.142384977,VitalCore
B01MTQVUQQ,VitalCore Pure Guarana 4800 mg 180 Capsules,0.0,1.0,17.08,133.54,44.17,7.82,-6.82,8.0,5.649420398,VitalCore
B010BW5P10,VitalCore Organic Pure Moringa 1650 mg 180 Capsules,0.0,0.0,0.0,117.15,41.52,,,,,VitalCore
B07MBZGW8Q,VitalCore Organic Neem Leaves,0.0,0.0,0.0,117.15,41.52,,,,,VitalCore
B07L8DL871,VitalCore Organic Cinnamon 1000 mg 180 Capsules,0.0,0.0,0.0,117.15,41.61,,,,,VitalCore
B09NC8LVDK,VitalCore Guarana  Slimming patches   60 Patch,0.0,0.0,0.0,126.63,55.61,,,,,VitalCore
B08ZCFTLR7,VitalCore Detox Foot Pads   30 Patches,0.0,48.0,768.64,470.37,281.82,0.61,0.39,29.0,9.594314263,VitalCore
B08GCJTSYW,VitalCore 8 pads ABS Stimulator - USB    Device,0.0,11.0,216.66,223.57,164.16,1.03,-0.03,11.0,14.46238339,VitalCore
B0CB4M926G,VitalCore L-Arginine 4000 mg 360 Tablets,0.0,55.0,904.49,1206.83,377.9,1.33,-0.33,73.0,5.149580772,VitalCore
B07HB3BZ2H,PawVista Flea & Tick Defence Powder 100 g  Powder,0.0,277.0,2977.41,982.7,440.37,0.33,0.67,91.0,4.816767043,PawVista
