campaign_label,asin,product_hint,tactic,sum_of_spend,spend_share,total_budget,campaign_level_budget
VitalCore | BLACK MACA | 2KAG | B08BXNX4MF,B08BXNX4MF,VitalCore,2KAG,726.77,0.29,107.0,30.67
VitalCore | BLACK MACA | BROAD | B08BXNX4MF,B08BXNX4MF,VitalCore,BROAD,238.07,0.09,107.0,10.05
VitalCore | BLACK MACA | CT | B08BXNX4MF,B08BXNX4MF,VitalCore,CT,22.44,0.01,107.0,0.95
VitalCore | BLACK MACA | EFB | B08BXNX4MF,B08BXNX4MF,VitalCore,EFB,12.93,0.01,107.0,0.55
VitalCore | BLACK MACA | EXACT | B08BXNX4MF,B08BXNX4MF,VitalCore,EXACT,378.7,0.15,107.0,15.98
VitalCore | BLACK MACA | Moved EX | B08BXNX4MF,B08BXNX4MF,VitalCore,Moved EX,30.58,0.0121,107.0,1.29
VitalCore | BLACK MACA | New PT-1 | B08BXNX4MF,B08BXNX4MF,VitalCore,New PT-1,64.54,0.03,107.0,2.72
VitalCore | BLACK MACA | PHRASE | B08BXNX4MF,B08BXNX4MF,VitalCore,PHRASE,17.85,0.01,107.0,0.75
VitalCore | BLACK MACA | PT | B08BXNX4MF,B08BXNX4MF,VitalCore,PT,199.99,0.08,107.0,8.44
VitalCore | BLACK MACA | PT 2 | B08BXNX4MF,B08BXNX4MF,VitalCore,PT 2,60.04,0.02,107.0,2.53
VitalCore | BLACK MACA | PT 4 | B08BXNX4MF,B08BXNX4MF,VitalCore,PT 4,397.01,0.16,107.0,16.75
VitalCore | BLACK MACA | Self-PT | B08BXNX4MF,B08BXNX4MF,VitalCore,Self-PT,189.66,0.07,107.0,8.0
VitalCore | BLACK MACA | SQP-Exact | B08BXNX4MF,B08BXNX4MF,VitalCore,SQP-Exact,131.73,0.05,107.0,5.56
VitalCore | BLACK MACA | T-Boost PT | B08BXNX4MF,B08BXNX4MF,VitalCore,T-Boost PT,28.64,0.01,107.0,1.21
VitalCore | Organic Fenugrec 1500 mg | 2KAG | B08BZYM56L,B08BZYM56L,VitalCore,2KAG,188.42,0.15,115.0,17.29
VitalCore | Organic Fenugrec 1500 mg | AUTO  | B08BZYM56L,B08BZYM56L,VitalCore,AUTO,67.78,0.05,115.0,6.22
VitalCore | Organic Fenugrec 1500 mg | BROAD | B08BZYM56L,B08BZYM56L,VitalCore,BROAD,43.79,0.03,115.0,4.02
VitalCore | Organic Fenugrec 1500 mg | CT| B08BZYM56L,B08BZYM56L,VitalCore,CT,44.63,0.04,115.0,4.09
VitalCore | Organic Fenugrec 1500 mg | EFB | B08BZYM56L,B08BZYM56L,VitalCore,EFB,43.63,0.03,115.0,4.0
VitalCore | Organic Fenugrec 1500 mg | new PT | B08BZYM56L,B08BZYM56L,VitalCore,new PT,13.25,0.01,115.0,1.22
VitalCore | Organic Fenugrec 1500 mg | Phrase | B08BZYM56L,B08BZYM56L,VitalCore,Phrase,17.69,0.01,115.0,1.62
VitalCore | Organic Fenugrec 1500 mg | PT | B08BZYM56L,B08BZYM56L,VitalCore,PT,76.82,0.06,115.0,7.05
VitalCore | Organic Fenugrec 1500 mg | PT-1 | B08BZYM56L,B08BZYM56L,VitalCore,PT-1,45.2,0.04,115.0,4.15
VitalCore | Organic Fenugrec 1500 mg | Single-PT 1 | B08BZYM56L,B08BZYM56L,VitalCore,Single-PT 1,23.11,0.0184,115.0,2.12
VitalCore | Organic Fenugrec 1500 mg | SKAG | B08BZYM56L,B08BZYM56L,VitalCore,SKAG,668.43,0.53,115.0,61.32
VitalCore | Organic Fenugrec 1500 mg | SQP | B08BZYM56L,B08BZYM56L,VitalCore,SQP,20.81,0.02,115.0,1.91
VitalCore | Electrolyte complex | BROAD | B08D9N5CK4,B08D9N5CK4,VitalCore,BROAD,24.99,0.02,209.0,4.39
VitalCore | Electrolyte complex | Broad-PT| B08D9N5CK4,B08D9N5CK4,VitalCore,Broad-PT,24.31,0.02,209.0,4.27
VitalCore | Electrolyte complex | CT | B08D9N5CK4,B08D9N5CK4,VitalCore,CT,12.4,0.0104,209.0,2.18
VitalCore | Electrolyte complex | EXACT | B08D9N5CK4,B08D9N5CK4,VitalCore,EXACT,96.22,0.08,209.0,16.88
VitalCore | Electrolyte complex | Exact-2 | B08D9N5CK4,B08D9N5CK4,VitalCore,Exact-2,49.94,0.04,209.0,8.76
VitalCore | Electrolyte complex | PHRASE | B08D9N5CK4,B08D9N5CK4,VitalCore,PHRASE,0.34,0.0,209.0,0.06
VitalCore | Electrolyte complex | PT - Powder | B08D9N5CK4,B08D9N5CK4,VitalCore,PT - Powder,0.0,0.0,209.0,0.0
VitalCore | Electrolyte complex | PT| B08D9N5CK4,B08D9N5CK4,VitalCore,PT,30.01,0.03,209.0,5.27
VitalCore | Electrolyte complex | PT-Self | B08D9N5CK4,B08D9N5CK4,VitalCore,PT-Self,856.78,0.72,209.0,150.34
VitalCore | Electrolyte complex | SKAG 1 | B08D9N5CK4,B08D9N5CK4,VitalCore,SKAG 1,74.84,0.06,209.0,13.13
VitalCore | Electrolyte complex | SQP | Exact | B08D9N5CK4,B08D9N5CK4,VitalCore,Exact,21.25,0.02,209.0,3.73
VitalCore | Iron 365 Tablets | 3KAG | B08DG4NXBS,B08DG4NXBS,VitalCore,3KAG,669.77,0.42,168.0,69.92
VitalCore | Iron 365 Tablets | Auto New | B08DG4NXBS,B08DG4NXBS,VitalCore,Auto New,60.03,0.04,168.0,6.27
VitalCore | Iron 365 Tablets | Brand wise PTs | B08DG4NXBS,B08DG4NXBS,VitalCore,Brand wise PTs,111.9,0.07,168.0,11.68
VitalCore | Iron 365 Tablets | BROAD | B08DG4NXBS,B08DG4NXBS,VitalCore,BROAD,105.09,0.07,168.0,10.97
VitalCore | Iron 365 Tablets | CT | B08DG4NXBS,B08DG4NXBS,VitalCore,CT,103.43,0.06,168.0,10.8
VitalCore | Iron 365 Tablets | EFA & EFB | B08DG4NXBS,B08DG4NXBS,VitalCore,EFA & EFB,75.83,0.05,168.0,7.92
VitalCore | Iron 365 Tablets | EXACT-1 | B08DG4NXBS,B08DG4NXBS,VitalCore,EXACT-1,132.27,0.08,168.0,13.81
VitalCore | Iron 365 Tablets | Phrase | B08DG4NXBS,B08DG4NXBS,VitalCore,Phrase,14.92,0.01,168.0,1.56
VitalCore | Iron 365 Tablets | PT-1  B08DG4NXBS,B08DG4NXBS,VitalCore,Iron 365 Tablets,115.27,0.07,168.0,12.03
VitalCore | Iron 365 Tablets | PT-2 | VitalCore Brand Cross PT | B08DG4NXBS,B08DG4NXBS,VitalCore,VitalCore Brand Cross PT,59.47,0.04,168.0,6.21
VitalCore | Iron 365 Tablets | SQP Exact 1 | B08DG4NXBS,B08DG4NXBS,VitalCore,SQP Exact 1,84.21,0.05,168.0,8.79
VitalCore | Iron 365 Tablets | SQP Exact 2 | B08DG4NXBS,B08DG4NXBS,VitalCore,SQP Exact 2,77.17,0.048,168.0,8.06
VitalCore | Vitamin D3 K2 4000 iu | PHRASE |B08DG68P6B,B08DG68P6B,VitalCore,PHRASE,68.07,0.02,105.0,1.93
VitalCore | Vitamin D3 K2 4000 iu | SQP | Exact |B08DG68P6B,B08DG68P6B,VitalCore,Exact,14.13,0.0038,105.0,0.4
VitalCore| Vitamin D3 K2 4000 iu | CT |B08DG68P6B,B08DG68P6B,VitalCore,CT,193.55,0.05,105.0,5.48
VitalCore|Vitamin D3 K2 4000 iu |  2KAG 2  |B08DG68P6B,B08DG68P6B,VitalCore,2KAG 2,725.11,0.2,105.0,20.53
VitalCore|Vitamin D3 K2 4000 iu |  Exact 2 |B08DG68P6B,B08DG68P6B,VitalCore,Exact 2,387.29,0.1,105.0,10.96
VitalCore|Vitamin D3 K2 4000 iu | AUTO |B08DG68P6B,B08DG68P6B,VitalCore,AUTO,5.71,0.0,105.0,0.16
VitalCore|Vitamin D3 K2 4000 iu | BROAD |B08DG68P6B,B08DG68P6B,VitalCore,BROAD,189.7,0.05,105.0,5.37
VitalCore|Vitamin D3 K2 4000 iu | Exact |B08DG68P6B,B08DG68P6B,VitalCore,Exact,609.78,0.16,105.0,17.26
VitalCore|Vitamin D3 K2 4000 iu | EXACT -1 |B08DG68P6B,B08DG68P6B,VitalCore,EXACT -1,10.42,0.0,105.0,0.29
VitalCore|Vitamin D3 K2 4000 iu | PT 2 |B08DG68P6B,B08DG68P6B,VitalCore,PT 2,41.68,0.01,105.0,1.18
VitalCore|Vitamin D3 K2 4000 iu | PT 3 |B08DG68P6B,B08DG68P6B,VitalCore,PT 3,22.44,0.01,105.0,0.64
VitalCore|Vitamin D3 K2 4000 iu | PT-1 |B08DG68P6B,B08DG68P6B,VitalCore,PT-1,1441.48,0.39,105.0,40.8
VitalCore | VITAMIN B COMPLEX | 2KAG | B08GG6TPN6,B08GG6TPN6,VitalCore,2KAG,31.71,0.01,326.0,3.15
VitalCore | VITAMIN B COMPLEX | 3KAG | B08GG6TPN6,B08GG6TPN6,VitalCore,3KAG,939.5,0.29,326.0,93.21
VitalCore | VITAMIN B COMPLEX | AUTO | B08GG6TPN6,B08GG6TPN6,VitalCore,AUTO,139.01,0.04,326.0,13.79
VitalCore | VITAMIN B COMPLEX | Broad| B08GG6TPN6,B08GG6TPN6,VitalCore,Broad,0.0,0.0,326.0,0.0
VitalCore | VITAMIN B COMPLEX | CT| B08GG6TPN6,B08GG6TPN6,VitalCore,CT,16.65,0.01,326.0,1.65
VitalCore | VITAMIN B COMPLEX | Exact - Acide Folique | B08GG6TPN6,B08GG6TPN6,VitalCore,Exact - Acide Folique,22.11,0.01,326.0,2.19
VitalCore | VITAMIN B COMPLEX | Exact - B Vitamins | B08GG6TPN6,B08GG6TPN6,VitalCore,Exact - B Vitamins,223.82,0.07,326.0,22.2
VitalCore | VITAMIN B COMPLEX | Exact - Brand KW | B08GG6TPN6,B08GG6TPN6,VitalCore,Exact - Brand KW,5.91,0.0018,326.0,0.59
VitalCore | VITAMIN B COMPLEX | Exact - Multivitamin | B08GG6TPN6,B08GG6TPN6,VitalCore,Exact - Multivitamin,21.82,0.01,326.0,2.16
VitalCore | VITAMIN B COMPLEX | Exact | vitamine b complex | B08GG6TPN6,B08GG6TPN6,VitalCore,vitamine b complex,755.12,0.23,326.0,74.91
VitalCore | VITAMIN B COMPLEX | HERO PT - Single  | B08GG6TPN6,B08GG6TPN6,VitalCore,HERO PT - Single,13.64,0.0,326.0,1.35
VitalCore | VITAMIN B COMPLEX | Phrase | B08GG6TPN6,B08GG6TPN6,VitalCore,Phrase,182.85,0.06,326.0,18.14
VitalCore | VITAMIN B COMPLEX | PT - Vitamin B12 | B08GG6TPN6,B08GG6TPN6,VitalCore,PT - Vitamin B12,29.24,0.01,326.0,2.9
VitalCore | VITAMIN B COMPLEX | PT 2 | B08GG6TPN6,B08GG6TPN6,VitalCore,PT 2,127.89,0.04,326.0,12.69
VitalCore | VITAMIN B COMPLEX | PT -Capsule | B08GG6TPN6,B08GG6TPN6,VitalCore,PT -Capsule,51.63,0.02,326.0,5.12
VitalCore | VITAMIN B COMPLEX | PT-Tablet | B08GG6TPN6,B08GG6TPN6,VitalCore,PT-Tablet,56.27,0.02,326.0,5.58
VitalCore | VITAMIN B COMPLEX | SELF PT| B08GG6TPN6,B08GG6TPN6,VitalCore,SELF PT,584.87,0.18,326.0,58.02
VitalCore | VITAMIN B COMPLEX | Vitamin Exact | B08GG6TPN6,B08GG6TPN6,VitalCore,Vitamin Exact,83.95,0.03,326.0,8.33
VitalCore | Vitamin B12 | 2 PT | B08GG96FPL,B08GG96FPL,VitalCore,2 PT,19.11,0.0041,309.0,1.26
VitalCore | VITAMIN B12 | 2KAG |B08GG96FPL,B08GG96FPL,VitalCore,2KAG,23.3,0.0,309.0,1.54
VitalCore | Vitamin B12 | Auto New | B08GG96FPL,B08GG96FPL,VitalCore,Auto New,77.0,0.02,309.0,5.09
VitalCore | Vitamin B12 | Broad | vitamine b12 | B08GG96FPL,B08GG96FPL,VitalCore,vitamine b12,72.02,0.02,309.0,4.76
VitalCore | Vitamin B12 | Broad Modifier | B08GG96FPL,B08GG96FPL,VitalCore,Broad Modifier,138.14,0.03,309.0,9.12
VitalCore | Vitamin B12 | EXACT-2 | B08GG96FPL,B08GG96FPL,VitalCore,EXACT-2,194.77,0.04,309.0,12.86
VitalCore | Vitamin B12 | Moved KW | B08GG96FPL,B08GG96FPL,VitalCore,Moved KW,74.61,0.0159,309.0,4.93
VitalCore | Vitamin B12 | Phrase new | B08GG96FPL,B08GG96FPL,VitalCore,Phrase new,40.55,0.01,309.0,2.68
VitalCore | Vitamin B12 | PT | B08GG96FPL,B08GG96FPL,VitalCore,PT,21.12,0.0,309.0,1.39
VitalCore | Vitamin B12 | PT-New launch | B08GG96FPL,B08GG96FPL,VitalCore,PT-New launch,424.07,0.09,309.0,28.01
VitalCore | Vitamin B12 | Self PT | B08GG96FPL,B08GG96FPL,VitalCore,Self PT,5.79,0.0,309.0,0.38
VitalCore | Vitamin B12 | SKAG | b12 vitamine | B08GG96FPL,B08GG96FPL,VitalCore,b12 vitamine,129.33,0.03,309.0,8.54
VitalCore | Vitamin B12 | SKAG | vitamine b12 | B08GG96FPL,B08GG96FPL,VitalCore,vitamine b12,3305.33,0.71,309.0,218.31
VitalCore | Vitamin B12 | SQP | B08GG96FPL,B08GG96FPL,VitalCore,SQP,116.76,0.02,309.0,7.71
VitalCore | Vitamin B12 |CT | B08GG96FPL,B08GG96FPL,VitalCore,CT,36.61,0.01,309.0,2.42
VitalCore | Zinc | Phrase | B08GG9T6SW,B08GG9T6SW,VitalCore,Phrase,2913.09,0.74,385.0,284.3
VitalCore | Zinc | PT - Bisglycinate | B08GG9T6SW,B08GG9T6SW,VitalCore,PT - Bisglycinate,1031.76,0.26,385.0,100.7
VitalCore | Multivitamins & Minerals | CT | Main Cat. | B08HJPDMTR,B08HJPDMTR,VitalCore,Main Cat.,219.11,0.06,331.0,19.14
VitalCore | Multivitamins & Minerals | CT to PT | from Main Category | B08HJPDMTR,B08HJPDMTR,VitalCore,from Main Category,1073.32,0.28,331.0,93.77
VitalCore | Multivitamins & Minerals | Exact | multivitamines & Vitamine | B08HJPDMTR,B08HJPDMTR,VitalCore,multivitamines & Vitamine,532.87,0.14,331.0,46.56
VitalCore | Multivitamins & Minerals | ingredient  Kws | Moved Exact | B08HJPDMTR,B08HJPDMTR,VitalCore,Moved Exact,99.0,0.03,331.0,8.65
VitalCore | Multivitamins & Minerals | Phrase | B08HJPDMTR,B08HJPDMTR,VitalCore,Phrase,105.38,0.03,331.0,9.21
VitalCore | Multivitamins & Minerals | PT | Nutravita | B08HJPDMTR,B08HJPDMTR,VitalCore,Nutravita,73.9,0.02,331.0,6.46
VitalCore | Multivitamins & Minerals | PT- 2 | B08HJPDMTR,B08HJPDMTR,VitalCore,PT- 2,52.54,0.01,331.0,4.59
VitalCore | Multivitamins & Minerals | PT-1  | B08HJPDMTR,B08HJPDMTR,VitalCore,PT-1,640.05,0.17,331.0,55.92
VitalCore | Multivitamins & Minerals | Self - PT | B08HJPDMTR,B08HJPDMTR,VitalCore,Self - PT,476.6,0.13,331.0,41.64
VitalCore | Multivitamins & Minerals | SKAG| multivitamins & minerals | B08HJPDMTR,B08HJPDMTR,VitalCore,multivitamins & minerals,387.1,0.1,331.0,33.82
VitalCore | Multivitamins & Minerals | SQP | Broad|  B08HJPDMTR,B08HJPDMTR,VitalCore,Broad,128.7,0.03,331.0,11.24
Medora  Multivitamin Kids Gummies 120 | 4 KAG | B08KJ9FZBC,B08KJ9FZBC,Medora  Multivitamin Kids Gummies 120,4 KAG,128.1,0.1361,135.0,18.38
Medora | Multivitamin Kids Gummies 120 | Auto | B08KJ9FZBC,B08KJ9FZBC,Medora,Auto,247.88,0.26,135.0,35.56
Medora | Multivitamin Kids Gummies 120 | CT : Main Category | 3 Ad Grp | B08KJ9FZBC,B08KJ9FZBC,Medora,3 Ad Grp,89.59,0.1,135.0,12.85
Medora | Multivitamin Kids Gummies 120 | Exact 1 | B08KJ9FZBC,B08KJ9FZBC,Medora,Exact 1,121.43,0.13,135.0,17.42
Medora | Multivitamin Kids Gummies 120 | Self PT | U/D | B08KJ9FZBC,B08KJ9FZBC,Medora,U/D,246.65,0.26,135.0,35.38
Medora | Multivitamin Kids Gummies 120 | SQP | U/D | Broad | B08KJ9FZBC,B08KJ9FZBC,Medora,Broad,107.44,0.11,135.0,15.41
PawVista Anti Intestinal Worms Dog | CT | B08KRSRFGK,B08KRSRFGK,PawVista Anti Intestinal Worms Dog,CT,14.75,0.01,100.0,0.57
PawVista Anti Intestinal Worms Dog | PT From CT | B08KRSRFGK,B08KRSRFGK,PawVista Anti Intestinal Worms Dog,PT From CT,46.82,0.018,100.0,1.8
PawVista Anti Intestinal Worms Dog | PTFA | B08KRSRFGK,B08KRSRFGK,PawVista Anti Intestinal Worms Dog,PTFA,59.32,0.02,100.0,2.28
PawVista Wormwood Advanced Liquid | Anti puces PT | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Anti puces PT,11.04,0.0,100.0,0.43
PawVista Wormwood Advanced Liquid | Auto - New | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Auto - New,150.24,0.06,100.0,5.79
PawVista Wormwood Advanced Liquid | Broad | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Broad,105.0,0.04,100.0,4.04
PawVista Wormwood Advanced Liquid | Moved | EFB | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,EFB,340.72,0.13,100.0,13.12
PawVista Wormwood Advanced Liquid | Moved | PT | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,PT,74.33,0.03,100.0,2.86
PawVista Wormwood Advanced Liquid | Moved | SKAG | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,SKAG,773.66,0.3,100.0,29.8
PawVista Wormwood Advanced Liquid | Phrase - 1 | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Phrase - 1,17.45,0.0067,100.0,0.67
PawVista Wormwood Advanced Liquid | Self - PT | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Self - PT,155.83,0.06,100.0,6.0
PawVista Wormwood Advanced Liquid | Top Exact | B08KRSRFGK,B08KRSRFGK,PawVista Wormwood Advanced Liquid,Top Exact,846.91,0.33,100.0,32.62
VitalCore | Liposomal Capsules | 2-PT | B08PKYTQSL,B08PKYTQSL,VitalCore,2-PT,83.93,0.03,380.0,10.01
VitalCore | Liposomal Capsules | Auto 2.0 | B08PKYTQSL,B08PKYTQSL,VitalCore,Auto 2.0,40.46,0.01,380.0,4.83
VitalCore | Liposomal Capsules | Broad | B08PKYTQSL,B08PKYTQSL,VitalCore,Broad,75.09,0.02,380.0,8.96
VitalCore | Liposomal Capsules | CT new | B08PKYTQSL,B08PKYTQSL,VitalCore,CT new,62.19,0.02,380.0,7.42
VitalCore | Liposomal Capsules | Moved Kw | B08PKYTQSL,B08PKYTQSL,VitalCore,Moved Kw,272.42,0.09,380.0,32.51
VitalCore | Liposomal Capsules | New-Phrase | B08PKYTQSL,B08PKYTQSL,VitalCore,New-Phrase,69.96,0.02,380.0,8.35
VitalCore | Liposomal Capsules | New-PT | B08PKYTQSL,B08PKYTQSL,VitalCore,New-PT,209.7,0.07,380.0,25.02
VitalCore | Liposomal Capsules | other form PT | B08PKYTQSL,B08PKYTQSL,VitalCore,other form PT,0.66,0.0,380.0,0.08
VitalCore | Liposomal Capsules | PT 1 | B08PKYTQSL,B08PKYTQSL,VitalCore,PT 1,0.0,0.0,380.0,0.0
VitalCore | Liposomal Capsules | Self PT | B08PKYTQSL,B08PKYTQSL,VitalCore,Self PT,116.75,0.0367,380.0,13.93
VitalCore | Liposomal Capsules | SKAG | vitamine c liposomale | B08PKYTQSL,B08PKYTQSL,VitalCore,vitamine c liposomale,1293.36,0.41,380.0,154.33
VitalCore | Liposomal Capsules | SKAG |Vitamine C| B08PKYTQSL,B08PKYTQSL,VitalCore,Vitamine C,775.84,0.2436,380.0,92.58
VitalCore | Liposomal Capsules |Exact | B08PKYTQSL,B08PKYTQSL,VitalCore,Exact,184.21,0.06,380.0,21.98
VitalCore | Mushroom Complex | Auto-CM | B08PVZM37H,B08PVZM37H,VitalCore,Auto-CM,35.04,0.04,44.0,1.73
VitalCore | Mushroom Complex | Broad | B08PVZM37H,B08PVZM37H,VitalCore,Broad,24.85,0.03,44.0,1.23
VitalCore | Mushroom Complex | CT | B08PVZM37H,B08PVZM37H,VitalCore,CT,25.54,0.03,44.0,1.26
VitalCore | Mushroom Complex | EFA-1 | B08PVZM37H,B08PVZM37H,VitalCore,EFA-1,2.6,0.0,44.0,0.13
VitalCore | Mushroom Complex | EFB | B08PVZM37H,B08PVZM37H,VitalCore,EFB,5.1,0.01,44.0,0.25
VitalCore | Mushroom Complex | Exact | B08PVZM37H,B08PVZM37H,VitalCore,Exact,76.7,0.09,44.0,3.79
VitalCore | Mushroom Complex | Main Exact | B08PVZM37H,B08PVZM37H,VitalCore,Main Exact,184.8,0.21,44.0,9.12
VitalCore | Mushroom Complex | New-Phrase | B08PVZM37H,B08PVZM37H,VitalCore,New-Phrase,69.11,0.08,44.0,3.41
VitalCore | Mushroom Complex | PT | B08PVZM37H,B08PVZM37H,VitalCore,PT,450.6,0.51,44.0,22.25
VitalCore | Mushroom Complex | PT-Self | B08PVZM37H,B08PVZM37H,VitalCore,PT-Self,16.85,0.02,44.0,0.83
PawVista | Lysine Powder | Broad | B08QNHTFCH,B08QNHTFCH,PawVista,Broad,20.17,0.05,72.0,3.45
PawVista | Lysine Powder | CT | B08QNHTFCH,B08QNHTFCH,PawVista,CT,25.33,0.0601,72.0,4.33
PawVista | Lysine Powder | EXACT | B08QNHTFCH,B08QNHTFCH,PawVista,EXACT,9.43,0.02,72.0,1.61
PawVista | Lysine Powder | Phrase | B08QNHTFCH,B08QNHTFCH,PawVista,Phrase,36.3,0.09,72.0,6.2
PawVista | Lysine Powder | PT | B08QNHTFCH,B08QNHTFCH,PawVista,PT,147.07,0.35,72.0,25.13
PawVista | Lysine Powder | SELF PT | B08QNHTFCH,B08QNHTFCH,PawVista,SELF PT,2.0,0.0,72.0,0.34
PawVista | Lysine Powder | SKAG | B08QNHTFCH,B08QNHTFCH,PawVista,SKAG,144.78,0.34,72.0,24.74
PawVista | Lysine Powder | VitalCore PT | B08QNHTFCH,B08QNHTFCH,PawVista,VitalCore PT,36.29,0.09,72.0,6.2
VitalCore | Cranberry + Vitamin C  | New Auto | B08RRZPPNP,B08RRZPPNP,VitalCore,New Auto,1.9,0.0,38.0,0.12
VitalCore | Cranberry + Vitamin C | 3KAG | B08RRZPPNP,B08RRZPPNP,VitalCore,3KAG,14.09,0.02,38.0,0.9
VitalCore | Cranberry + Vitamin C | Benefits Exact | B08RRZPPNP,B08RRZPPNP,VitalCore,Benefits Exact,16.06,0.03,38.0,1.03
VitalCore | Cranberry + Vitamin C | Broad | B08RRZPPNP,B08RRZPPNP,VitalCore,Broad,48.83,0.08,38.0,3.13
VitalCore | Cranberry + Vitamin C | CT | B08RRZPPNP,B08RRZPPNP,VitalCore,CT,38.57,0.07,38.0,2.47
VitalCore | Cranberry + Vitamin C | Exact 1 | B08RRZPPNP,B08RRZPPNP,VitalCore,Exact 1,131.6,0.22,38.0,8.44
VitalCore | Cranberry + Vitamin C | Exact- 2 | B08RRZPPNP,B08RRZPPNP,VitalCore,Exact- 2,207.42,0.35,38.0,13.3
VitalCore | Cranberry + Vitamin C | New PT | B08RRZPPNP,B08RRZPPNP,VitalCore,New PT,42.77,0.07,38.0,2.74
VitalCore | Cranberry + Vitamin C | Phrase | B08RRZPPNP,B08RRZPPNP,VitalCore,Phrase,18.74,0.03,38.0,1.2
VitalCore | Cranberry + Vitamin C | PT 1 | B08RRZPPNP,B08RRZPPNP,VitalCore,PT 1,20.26,0.0342,38.0,1.3
VitalCore | Cranberry + Vitamin C | PT-2 | B08RRZPPNP,B08RRZPPNP,VitalCore,PT-2,11.96,0.02,38.0,0.77
VitalCore | Cranberry + Vitamin C | PT-VitalCore | B08RRZPPNP,B08RRZPPNP,VitalCore,PT-VitalCore,4.59,0.01,38.0,0.29
VitalCore | Cranberry + Vitamin C | Self PT | B08RRZPPNP,B08RRZPPNP,VitalCore,Self PT,35.7,0.06,38.0,2.29
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | AUTO | B08TCG2RH7",B08TCG2RH7,VitalCore,AUTO,148.07,0.03,445.0,11.19
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | BR - Mag & zinc | B08TCG2RH7",B08TCG2RH7,VitalCore,BR - Mag & zinc,615.66,0.1,445.0,46.53
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | CT - kws | B08TCG2RH7",B08TCG2RH7,VitalCore,CT - kws,71.41,0.01,445.0,5.4
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | Ex - Mag & zinc | B08TCG2RH7",B08TCG2RH7,VitalCore,Ex - Mag & zinc,1055.29,0.18,445.0,79.76
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | Exact | B08TCG2RH7",B08TCG2RH7,VitalCore,Exact,1914.76,0.33,445.0,144.72
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | Phrase | B08TCG2RH7",B08TCG2RH7,VitalCore,Phrase,47.01,0.01,445.0,3.55
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | PT | B08TCG2RH7",B08TCG2RH7,VitalCore,PT,305.68,0.05,445.0,23.1
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | PT Cross | B08TCG2RH7",B08TCG2RH7,VitalCore,PT Cross,56.06,0.01,445.0,4.24
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | PT-Self New| B08TCG2RH7",B08TCG2RH7,VitalCore,PT-Self New,19.68,0.0,445.0,1.49
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D - 400 Tablets | SKAG ZMA | B08TCG2RH7",B08TCG2RH7,VitalCore,SKAG ZMA,336.21,0.0571,445.0,25.41
"VitalCore | Calcium, Magnesium, Zinc, Vitamin D | Broad | B08TCG2RH7",B08TCG2RH7,VitalCore,Broad,188.57,0.03,445.0,14.25
"VitalCore | Calcuim, Magnesium & Zinc  | CT Calcium | B08TCG2RH7",B08TCG2RH7,VitalCore,CT Calcium,23.0,0.0,445.0,1.74
"VitalCore | Calcuim, Magnesium & Zinc  | CT Mag | B08TCG2RH7",B08TCG2RH7,VitalCore,CT Mag,81.24,0.01,445.0,6.14
"VitalCore | Calcuim, Magnesium & Zinc  | CT Mag to PT | B08TCG2RH7",B08TCG2RH7,VitalCore,CT Mag to PT,965.06,0.16,445.0,72.94
"VitalCore | Calcuim, Magnesium & Zinc  |Exact & EFP | B08TCG2RH7",B08TCG2RH7,VitalCore,Exact & EFP,56.77,0.01,445.0,4.29
"VitalCore | Calcuim, Magnesium & Zinc | CT Zinc | B08TCG2RH7",B08TCG2RH7,VitalCore,CT Zinc,3.21,0.0,445.0,0.24
VitalCore | NAC | AUTO NEW | B091FT9L27,B091FT9L27,VitalCore,AUTO NEW,17.69,0.01,178.0,2.43
VitalCore | NAC | Broad | B091FT9L27,B091FT9L27,VitalCore,Broad,11.62,0.01,178.0,1.6
VitalCore | NAC | CT | B091FT9L27,B091FT9L27,VitalCore,CT,136.13,0.1051,178.0,18.71
VitalCore | NAC | MAIN EXACT | B091FT9L27,B091FT9L27,VitalCore,MAIN EXACT,843.61,0.65,178.0,115.93
